uid,walletx2,max_priv_intermediary,max_priv_gov,max_priv_public,banklike,ir_studyr,male,topcoder,expectpricedown,open_source_browser,am_privacy_peers,am_privacy_int,am_privacy_gov,trust_gov,trust_startup,trust_retailer,es_pub,es_int,es_gov,rpgpextra,sb_cashing_out_btc_05,rmatrix,fw_notracePEERS,fw_notraceISP,fw_notraceGOV,wallet_order,first_wallet,rblockchain1,relectrum1,rcoinbase1,rcircle1,rblockchain2,relectrum2,rcoinbase2,rcircle2,rblockchain3,relectrum3,rcoinbase3,rcircle3,rblockchain4,relectrum4,rcoinbase4,rcircle4,best_priv_public_n1st,best_priv_int_n1st,best_priv_gov_n1st
32,Circle,0,0,1,1,2,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,3,5,4,['Circle' 'Coinbase' 'Blockchain' 'Electrum'],Circle,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
33,Coinbase,0,0,1,1,2,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,4,2,2,['Coinbase' 'Circle' 'Blockchain' 'Electrum'],Coinbase,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
34,Coinbase,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,2,5,1,['Blockchain' 'Coinbase' 'Electrum' 'Circle'],Blockchain,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
35,Coinbase,0,0,1,1,2,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,4,1,1,['Electrum' 'Coinbase' 'Blockchain' 'Circle'],Electrum,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
36,Electrum,1,1,0,0,4,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,3,3,2,['Electrum' 'Coinbase' 'Blockchain' 'Circle'],Electrum,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
37,Circle,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,5,5,2,['Electrum' 'Coinbase' 'Blockchain' 'Circle'],Electrum,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
38,Coinbase,0,0,1,1,3,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,3,['Circle' 'Blockchain' 'Coinbase' 'Electrum'],Circle,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
39,Coinbase,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,5,3,3,['Electrum' 'Coinbase' 'Blockchain' 'Circle'],Electrum,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
40,Circle,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,5,2,5,['Circle' 'Electrum' 'Blockchain' 'Coinbase'],Circle,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
41,Coinbase,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,5,1,1,['Circle' 'Coinbase' 'Electrum' 'Blockchain'],Circle,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
42,Coinbase,0,0,1,1,3,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,5,1,2,['Blockchain' 'Electrum' 'Coinbase' 'Circle'],Blockchain,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1
43,Electrum,1,1,0,0,2,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,5,2,1,['Circle' 'Electrum' 'Coinbase' 'Blockchain'],Circle,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1
44,Electrum,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,4,4,3,['Blockchain' 'Circle' 'Coinbase' 'Electrum'],Blockchain,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
45,Circle,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,3,4,5,['Coinbase' 'Blockchain' 'Circle' 'Electrum'],Coinbase,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
46,Coinbase,0,0,1,1,3,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,5,5,5,['Electrum' 'Blockchain' 'Coinbase' 'Circle'],Electrum,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
47,Electrum,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,2,3,4,['Coinbase' 'Circle' 'Blockchain' 'Electrum'],Coinbase,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
48,Blockchain,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,4,1,1,['Electrum' 'Coinbase' 'Blockchain' 'Circle'],Electrum,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
49,Circle,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,5,3,4,['Blockchain' 'Coinbase' 'Electrum' 'Circle'],Blockchain,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
50,Coinbase,0,0,1,1,4,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,4,4,5,['Coinbase' 'Electrum' 'Blockchain' 'Circle'],Coinbase,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1
51,Circle,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,3,4,1,['Circle' 'Electrum' 'Blockchain' 'Coinbase'],Circle,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
52,Coinbase,0,0,1,1,4,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,2,5,4,['Blockchain' 'Electrum' 'Circle' 'Coinbase'],Blockchain,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
53,Circle,0,0,1,1,4,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,4,2,5,['Electrum' 'Coinbase' 'Blockchain' 'Circle'],Electrum,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
54,Circle,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,4,2,['Coinbase' 'Circle' 'Blockchain' 'Electrum'],Coinbase,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
55,Blockchain,1,0,0,0,3,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,2,2,1,['Blockchain' 'Electrum' 'Coinbase' 'Circle'],Blockchain,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1
56,Electrum,1,1,0,0,2,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,3,3,4,['Blockchain' 'Electrum' 'Coinbase' 'Circle'],Blockchain,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1
57,Coinbase,0,0,1,1,3,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,5,3,5,['Coinbase' 'Circle' 'Electrum' 'Blockchain'],Coinbase,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
58,Circle,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,5,1,['Coinbase' 'Circle' 'Blockchain' 'Electrum'],Coinbase,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
59,Coinbase,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,4,1,4,['Blockchain' 'Coinbase' 'Electrum' 'Circle'],Blockchain,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
60,Coinbase,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,4,2,1,['Blockchain' 'Electrum' 'Circle' 'Coinbase'],Blockchain,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
61,Electrum,1,1,0,0,2,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,5,4,3,['Blockchain' 'Circle' 'Coinbase' 'Electrum'],Blockchain,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
62,Circle,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,4,4,1,['Blockchain' 'Circle' 'Coinbase' 'Electrum'],Blockchain,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
63,Electrum,1,1,0,0,2,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,5,2,4,['Circle' 'Electrum' 'Coinbase' 'Blockchain'],Circle,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1
64,Electrum,1,1,0,0,2,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,2,2,['Electrum' 'Coinbase' 'Blockchain' 'Circle'],Electrum,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
65,Blockchain,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,5,4,5,['Blockchain' 'Coinbase' 'Electrum' 'Circle'],Blockchain,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
66,Blockchain,1,0,0,0,3,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,2,4,5,['Circle' 'Blockchain' 'Coinbase' 'Electrum'],Circle,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
67,Blockchain,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,3,3,4,['Circle' 'Electrum' 'Coinbase' 'Blockchain'],Circle,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1
68,Coinbase,0,0,1,1,2,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,3,3,4,['Coinbase' 'Blockchain' 'Electrum' 'Circle'],Coinbase,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
69,Circle,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,['Blockchain' 'Circle' 'Coinbase' 'Electrum'],Blockchain,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
70,Electrum,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,5,5,1,['Electrum' 'Circle' 'Coinbase' 'Blockchain'],Electrum,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
71,Circle,0,0,1,1,4,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,5,3,3,['Blockchain' 'Circle' 'Electrum' 'Coinbase'],Blockchain,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
72,Electrum,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,4,1,['Coinbase' 'Blockchain' 'Circle' 'Electrum'],Coinbase,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
73,Circle,0,0,1,1,4,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,2,2,4,['Electrum' 'Blockchain' 'Circle' 'Coinbase'],Electrum,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
74,Circle,0,0,1,1,3,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,5,2,2,['Circle' 'Blockchain' 'Electrum' 'Coinbase'],Circle,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
75,Coinbase,0,0,1,1,4,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,2,1,1,['Coinbase' 'Blockchain' 'Electrum' 'Circle'],Coinbase,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
76,Circle,0,0,1,1,4,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,3,5,['Electrum' 'Blockchain' 'Circle' 'Coinbase'],Electrum,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
77,Circle,0,0,1,1,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,3,1,4,['Coinbase' 'Blockchain' 'Circle' 'Electrum'],Coinbase,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
78,Blockchain,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,2,3,4,['Blockchain' 'Coinbase' 'Circle' 'Electrum'],Blockchain,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
79,Blockchain,1,0,0,0,3,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,4,5,1,['Electrum' 'Coinbase' 'Circle' 'Blockchain'],Electrum,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
80,Circle,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,4,2,1,['Circle' 'Coinbase' 'Blockchain' 'Electrum'],Circle,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
81,Electrum,1,1,0,0,2,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,3,1,1,['Blockchain' 'Circle' 'Electrum' 'Coinbase'],Blockchain,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
82,Blockchain,1,0,0,0,4,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,2,2,5,['Blockchain' 'Electrum' 'Circle' 'Coinbase'],Blockchain,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
83,Electrum,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,3,4,5,['Blockchain' 'Circle' 'Electrum' 'Coinbase'],Blockchain,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
84,Electrum,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,4,4,4,['Coinbase' 'Electrum' 'Blockchain' 'Circle'],Coinbase,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1
85,Coinbase,0,0,1,1,3,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,4,5,5,['Circle' 'Blockchain' 'Electrum' 'Coinbase'],Circle,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
86,Electrum,1,1,0,0,2,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,5,5,3,['Circle' 'Blockchain' 'Coinbase' 'Electrum'],Circle,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
87,Coinbase,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,3,3,3,['Coinbase' 'Blockchain' 'Circle' 'Electrum'],Coinbase,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
88,Circle,0,0,1,1,4,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,4,4,1,['Coinbase' 'Circle' 'Blockchain' 'Electrum'],Coinbase,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
89,Circle,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,2,2,4,['Blockchain' 'Circle' 'Coinbase' 'Electrum'],Blockchain,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
90,Blockchain,1,0,0,0,2,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,2,4,3,['Coinbase' 'Circle' 'Blockchain' 'Electrum'],Coinbase,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
91,Electrum,1,1,0,0,4,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,3,1,3,['Circle' 'Blockchain' 'Electrum' 'Coinbase'],Circle,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
92,Coinbase,0,0,1,1,3,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,3,4,3,['Blockchain' 'Coinbase' 'Electrum' 'Circle'],Blockchain,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
93,Electrum,1,1,0,0,3,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,2,['Electrum' 'Blockchain' 'Coinbase' 'Circle'],Electrum,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
94,Coinbase,0,0,1,1,3,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,4,1,2,['Coinbase' 'Circle' 'Blockchain' 'Electrum'],Coinbase,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
95,Circle,0,0,1,1,3,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,2,3,3,['Circle' 'Electrum' 'Blockchain' 'Coinbase'],Circle,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
96,Coinbase,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,3,3,3,['Electrum' 'Coinbase' 'Circle' 'Blockchain'],Electrum,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
97,Circle,0,0,1,1,4,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,3,4,4,['Circle' 'Coinbase' 'Electrum' 'Blockchain'],Circle,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
98,Blockchain,1,0,0,0,2,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,3,5,5,['Electrum' 'Circle' 'Coinbase' 'Blockchain'],Electrum,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
99,Circle,0,0,1,1,4,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,4,4,3,['Coinbase' 'Blockchain' 'Electrum' 'Circle'],Coinbase,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
100,Blockchain,1,0,0,0,4,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,4,2,4,['Coinbase' 'Electrum' 'Circle' 'Blockchain'],Coinbase,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1
101,Blockchain,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,2,2,4,['Blockchain' 'Coinbase' 'Electrum' 'Circle'],Blockchain,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
102,Coinbase,0,0,1,1,3,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,4,5,4,['Coinbase' 'Circle' 'Blockchain' 'Electrum'],Coinbase,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
103,Blockchain,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,3,4,3,['Blockchain' 'Circle' 'Electrum' 'Coinbase'],Blockchain,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
